types,tones,undertones,age,periode,content,buy,recommend,likes
normal, medium dark, neutral,18 and under,6 months - 1 year,ini si aku bagus banget buat ngelembapin  ga ada bau mecem macem  tekstur nya cair dan mudah meresap  isinya pun banyak udah 9 bulan pakai belum habis padahal dipake rutin        duku muka ku kasar setelah pake ini 3 bulanan udah mulai agak membaik  tapi dibarengi basic skincare yang lain juga yaa soalnya ini toner pertama aku dan bantu banget si menurut ku,shopee,recommends this product,0
combination, medium light, neutral,18 and under,3 months - 6 months,pakai ini waktu kulit lagi kering banget bahkan sampek bersisik  awal pemakaian emang kadang gatel gatel mau di stop cuma sayang karena baru beli  semingguan pemakaian kulit udah berhenti mengelupas  dan produknya juga ga bikin gatal2  efeknya baru terlihat setelah 3 mingguan  kulit jadi lembab dan kelihatan lebih sehat  sayangnya produknya khusus buat melembabkan jadi hyperpegmentasi tidak akan teratasi ,shopee,recommends this product,0
oily, medium, neutral,18 and under,3 months - 6 months,tonernya cukup hydrating kok  teksturnya cair  cepat meresap  isinya lumayan banyak  mudah didapatkan  dan harganya juga pas di kantong pelajar sih heheh          aku udah pake 2 botol dan kayak sih bakal repurchase terus nih      hehhe     ,tokopedia,recommends this product,0
normal, medium, warm,18 and under,1 month - 3 months,wanginya hampir ga ada  tekstur aga runny cair gitu  ga lengket  formulanya ringan di muka karena bukan yg gel gitu kan  trus packingnya aman cuma kalo di tas kdg2 kalo kegencet aga takut lepas cekrepannya  efek di muka jd lebih lembab dan kerasa terhidrasi aja si  gk ngasih hasil glowing yg berlebih cling2 gitu,watson,recommends this product,0
dry, medium light, cool,19 - 24,1 month - 3 months,aku coba hadalabo karena liat review orang orang yang katanya hadabalo ini cocok buat yg skin type nya dry  dna ternyata cocok di kulit akuu  lotion ini beneran bisa ngelembapin muka sih gais  tapi dikulit aku engga bertahan lama lembab nya  ,guardian,recommends this product,0
oily, medium dark, warm,25 - 29,1 month - 3 months,biasanya aku pakai yg varian light lotion  strip hijau   tapi waktu itu tonernya udah mau habis dan pas belanja stok varian light lotion lagi kosong jadi aku beli yg varian ini  efek hydrating nya aku sebenarnya suka  tapi sayangnya setelah beberapa hari pemakaian jadi muncul bruntusan  jerawat kecil    terutama di bagian dagu  akhirnya aku hibahkan ke teman aku yg punya dry skin dan kebetulan emang cocok pakai toner hada labo yg ini ,yogya supermarket,doesnt recommend this product,0
combination, medium, neutral,18 and under,1 week - 1 month,aku baru pake ini sekitar sebulanan  sejauh ini gabikin efek negatif sih di mukaku  dia tuh teksturnya cair licin2 gitu dan gampang meresap di kulit  bikin ngelembapin muka ku jugaa  yang pasti bakal repurchase sih kalo efeknya lebih bagus lagi kedepannya hehe,shopee,recommends this product,0
oily, medium, neutral,19 - 24,1 month - 3 months,hydrating toner yang bener bener melembabkan apalagi di pakai setelah exfo but di aku dia nimbulin bruntusan setelah aku cari tau ternyata dia ga fungal acne save  dia juga bikin kusam di wajah aku yang berminyak ini tapi ini emang enak banget kayak air biasa gitu menyegarkan banget repurchase kayanya aku mau nyoba yang lain dulu,brand website,recommends this product,0
combination, medium light, neutral,19 - 24,3 months - 6 months,udh abis botol yang kesekian kalinya  seneng pake ini karna dia cepet meresap trus cocok dikulit lumayan melembabkan jugasih ya walaupun harus ttp ditambah moisturizer  dari pemakaian pertama alhamdulillah cocok dimuka  selalu pake tonernya dia kaya masuk ke top fav product apalagi klo lagi breakout mukanya,shopee,recommends this product,0
oily, medium light, warm,25 - 29,less than 1 week,dapet ini pas beli travel sizenya gokujyun  st ku sebenernya oily tp pas pake ini kebeneran kulitku lagi agak dehidrasi  lg agak bo mau mens dan lagi sering pake acnespot bha di beberapa titik   secara tekstur gabeda jauh sama toner yg buat oily bedanya toner oily kayak air banget kan ya ini msh ada keliatan lebih kental sedikit aja kalo dibandingin sama yg buat oily  tapi tetep gaada aroma   kandungannya masih di ha aja   pake ini karena pas juga mukaku lg dehidrasi bikin mukaku berasa jauh lebih lembab  masih aku pake sampe sekarang jg sambil nunggu toner yg kubeli online sampe     ,guardian,recommends this product,0
