types,tones,undertones,age,periode,content,buy,recommend,likes
combination, light, neutral,18 and under,3 months - 6 months,nahhh ini diaa holygraill akuuuww  sukaa banget sama toner nya ini ngelembab in nya pass bangett  dulu beli yang starter kit nyaa dann langsung sukaa sama toner   fw nyaaa  ini aku recomend banget ya guysss  apalagi yang st nya keringg  habiss nya jugaaa lamaa  aku belu dari 3 bulan yg lalu  dan sekarang masih 1 4 botolnyaa,shopee,recommends this product,4
oily, medium light, neutral,19 - 24,3 months - 6 months,toner yang gak neko neko enak ngelembapinnya banget banget jadi gak pernah ngekelupas lagi kulit ku kadang suka pake yang stipnya hijau tapi lebih suka ini  isinya banyak texturnya kentel gitu cukup 1 kali layer aja udah irit banget pokoknya  packaging cukup juga kokoh,brand website,recommends this product,0
dry, medium, warm,19 - 24,1 week - 1 month,ini produk toner yg paling banyak di review warga fd ya wkwkw  jadi inget beberapa waktu lalu pas hype dimana dimana  adek aku beli deh tuh jadi aku coba juga siapa tau cocok  aku ga suka sama packagingnya yg flip top  produknya masih suka keluar keluar jadi susah buat dibawa travelling  entah aku lagi sial aja dapet bad batch atau packagingnya memang ga bagus  untuk teksturnya sendiri dia watery tapi ada  isi  nya  mirip mirip tekstur essence  ga ada warna tapi seingatku wanginya ada tapi ga ganggu  di kulit aku dia hydrating dan cukup melembabkan tanpa greasy  bagus buat buffer chemical acids dan dipake sebelum makeup  sayangnya dia agak panas di kulit jadi aku ga nyaman pakenya  tulisannya sih no alcohol tapi gatau ingredients apa yg bikin ga nyaman kayak gitu  would i buy it  i think no,shopee,recommends this product,1
dry, medium light, neutral,30 - 34,3 months - 6 months,membantu banget melembabkan kulitku yang kering kerontang  ga bikin bruntusan  aman banget dipakenya  aman dipake berlayer sama skincare lain  harganya sangat affordable dengan isinya yang banyak  awet banget dipakenya  overall aku suka ,shopee,recommends this product,0
combination, medium light, neutral,25 - 29,1 week - 1 month,awalnya pake strip ijo tpi kelamaan kondisi kulitku yg biasanya berminyak jdi normal kombinasi  akhirnya memutuskan beli strip oren  dan wow emang beda banget hasilnya  lebih lembab dan seperti sodaranya gak bikin beruntusan walaupun dipake bbrpa layer  repurchase yes   susah nemu di toner lokal yg lembab dan gak ada alkoholnya  my skin friendly laah,traditional market,recommends this product,1
dry, medium light, warm,19 - 24,3 months - 6 months,aku udah pakai ini selama 5 bulanan  teksturnya kental  tidak berwarna  dan baunya gak ganggu sama sekali  pas di apply di wajah juga cepat menyerapnya  dan sedikit meninggalkan efek glowing  hasilnya kulit wajah terasa lebih lembab dan kenyal gitu  untuk efek jangka panjangnya mungkin ya jadi terasa lembab aja gitu ,shopee,recommends this product,0
combination, light, neutral,19 - 24,more than 1 year,aaaa japanese beauty product yang pertama kali aku coba pas jaman sma dan langsung jatuh cinta  super affoardable dan gampang nyarinya dimana2 ada   teksturnya cair sesuai kesukaan aku jadi gampang diblend dan bikin jadi glowingg aduh pokoknya cinta,watson,recommends this product,0
oily, medium light, neutral,19 - 24,1 week - 1 month,hydra toner kali ini khas jepang  awal dipake sesuai klaimnya yaitu melembabkan di kulit ku yg oily  sekarang jadi partner csm baru  enak banget habis dipake itu  gak bikin kering malah jadi bikin kulit agak sehat dan soft plumpy gitu  teksturnya cair tp agak kentel dan kayaknya awet padahal pas pake csm kyk banget ternyata yg dipake cuma dikit  overall mantap sih,shopee,recommends this product,3
oily, light, warm,25 - 29,1 month - 3 months,melembabkan banget  dengan harga yang murah  product ini bagus banget sih  cocok buat jenis kulit berminyak kayak aku  ga bikin greasy trus fresh banget  bakal repurchase terus deh  trus botolnya jg travel friendly banget jadi mudah dibawa kemana mana hihi,shopee,recommends this product,0
combination, medium, neutral,25 - 29,1 month - 3 months,fix ini terdebest siih  jadi klo abis cuci muka pake ini tu berasa lembut bgt dan terhydrate gituu  trus juga aku tipe yg pori porinya gede  dg pake ini jadi lebih membaik gitu trus lebih kenyal juga  kebayang kaannn   nah trus juga dia teksturnya ga cair kek air jadi dia sedikitt lwbih kental gitu dan ga ada bau nyelekit samsek  aku suka         ,shopee,recommends this product,0
combination, light, neutral,18 and under,1 week - 1 month,produknya murah bgtttt but berkualitas  im shocked          bagus bgt especially for my dry skin  texturenya jg cair jdnya ga terlalu jijik  gw jijik an sm produk yg gel and cream hehe  and packagingnya cute and easy to use   sekali pake mungkin cm 3 5 tetes  jdnya ga gampang abis  def recommend                 ,shopee,recommends this product,0
dry, medium, neutral,19 - 24,6 months - 1 year,waktu itu muka ku lagi kering bgt sampe kelupas  udh stress banget cara ngatasinnya gimana  dan aku coba basic skincare dari hadalabo ini beli yang kit  huaaa ternyata ngebantu bgt bikin kembali normal dan lembab  bikin kulit ku kenyal juga  sampe bertahan sampai saat ini huhuu,shopee,recommends this product,3
combination, medium dark, warm,19 - 24,1 month - 3 months,sepertinya ini akan menjadi toner terakhir yang pernah aku pake  karena jujur  penggunaan toner di aku kurang seberapa pengaruh atau mungkin semua toner kayak gini aku juga enggak tahu  aku pake ini cuman waktu pake retinol aja  selain itu enggak pake,shopee,recommends this product,0
combination, medium light, neutral,25 - 29,1 month - 3 months,salah satu toner yang melengkapi basic skin care ku nih hihi waktu itu beli sepaket sama fw toner dan moisturizernya  tapi aku paling suka dan cocok sama si tonernya ini  toner yang nggak neko neko claimnya dan bener bener melembabkan kulit  nggak cuman lembab aja dikulit  kalau pakai toner ini di daily skin care kita bikin wajah jadi plumpy gitu dan skin care selanjutnya bakal enak banget diblend  aku suka pakek produk ini banyak banyak dan engga ada masalah apapun  dipakai pas aku beruntusan pun enak banget toner ini  nggak ada rasa perih malah justru calming  will repurchase  absolutely yess ,shopee,recommends this product,0
oily, medium light, neutral,25 - 29,1 month - 3 months,teksturnya sih cair tapi pas diaplikasikan terasa banget agak kentalnya dan lembabnya juga jelas nampol  kulit terasa minum kenyang dan terasa kenyal juga  tidak tercium bau apapun yang mengganggu sangat nyaman  dan tidak lengket sama sekali ,lazada,recommends this product,5
oily, medium, warm,45 and above,1 month - 3 months,toner pelembab yang nyaman di kulit muka saya  melembabkan kulit  tidak berat  teksturnya kental  tapi mudah menyerap  tidak berbau sama sekali  botolnya sangat nyaman untuk dibawa perjalanan  100ml dengan harga 35 ribuan ini sangat murah  worth it sekali buat dibeli ,shopee,recommends this product,0
oily, medium light, neutral,19 - 24,more than 1 year,used to be my holygrail moisturizing toner  teksturnya sedikit kental tapi muda menyerap di wajah  ga ada bau   after feel yang aneh2 setelah pake ini  wajah jadi lembut dan well hydrated  it   s a good product for dry   dehydrated skin  meskipun dipake di wajah yang oily dia ga bikin muka makin oily,shopee,recommends this product,0
normal, medium dark, cool,18 and under,6 months - 1 year,toner yang cocok buat para pemula yang baru pake skincare  harganya murah buat isi 100ml  dia enak gitu bikin lembap  ga lengket  dan cepat meresap  tapi entah kenapa pas pertama kali pake tuh rada kental tapi pas udah lama pake jadi cair bgt tonernya  intinya bagus banget lah aku udah habis 3 5 botol                                                 pokoknya kalian harus coba yaa,shopee,recommends this product,0
dry, light, warm,18 and under,more than 1 year,my everyday hydrating toner  selalu repurchase si hadalabo ini sampe berkali kali karena menurut aku toner ini sangat melembabkan dengan harga yang affordable  untuk dipake seharian di ruangan ber ac pun dia oke banget gak berkurang kelembaban kulitku ditambah lock pake moist yang texture nya balm  untuk kandungannya hyaluronic acid gausah ditanya dia terbaik untuk dry skin dan dipakai pas abis cuci muka masih setengah basah gitu ya   ,shopee,recommends this product,0
oily, medium, warm,19 - 24,6 months - 1 year,dulu pernah pake ini sama rangkaiannya yg lain tpi wajahku kok jdi kyk kilang minyak  berminyakk bgt  yauda aku stop  trus waktu itu nyoba lagi pake moisturizer lotion ini aja malah lbh cocok  ga banyak tingkah di wajah  ga bikin berminyak berlebihan juga  ga aneh2 lah pokoknyaa  baunya jg rasanya ga ada sih  udh repurchase lagi tapi msih pgn nyoba yg lain jugaa,shopee,recommends this product,0
combination, medium light, neutral,19 - 24,more than 1 year,ini dulu jadi toner favoritku selama 7 tahun sebelum ganti ke hatomugi  cocok bgt buat kulitku yg kombinasi dan dehidrasi  tapi semenjak aku pindah ke kota yg cuacanya lebih panas  kulitku jadi berminyak lebih parah dan gk cocok lgi pake ini ,hypermart,recommends this product,0
combination, medium dark, warm,18 and under,more than 1 year,bikin kulit glowing  cukup lembab dan gak bikin minyakan di area kulit yang oily  gak bikin iritasi atau masalah kulit apa pun  perasaan pas make enak kayak seger gitu mungkin karena teksturnya yang cair  untuk aroma menurut penciumanku gak ada aroma aneh aneh dan samar banget kayak gk beraroma ,shopee,recommends this product,0
oily, medium, warm,25 - 29,3 months - 6 months,pelembab senak masih smp  sma lupa ah  dulu dibeliin ibu  masih pake sampe bisa beli sendiri hahaha  tidak beraroma yg mencurigakan  dipake di kulitku yang acre prone juga nggak memberi efek buruk  sejauh make oke oke aja sih  gal nambah putih  cerah  tapi gapapa  karena aku cari yang ga bikin jerawat meradang  sudah lebih dari cukup,mirota,recommends this product,0
combination, medium, warm,19 - 24,6 months - 1 year,dulu coba ini secara nggak sengaja karena mau coba yg strip ijo lagi oot  yaudah akhirnya beli ini dan untungnya cocok gak nyangka wkwk jadi waktu itu aku masih pake krim dokter buat nyembuhin jerawatku dan salah satu efeknya kulitku jadi sensitif dan mudah iritasi  merah2  dehidrasi  sampe kulitnya ngelupas  panas dan gatel banget    terus aku coba cari produk yang hydrating buat nenangin kulitku dan dapet rekomendasi si toner ini  dulu awal2 pemakaian  muncul jerawat 3 4 biji sekaligus gila kaget dong  tapi aku lanjutin karena baru beberapa hari doang akhirnya setelah semingguan jerawatnya mereda  dan yang bikin aku amaze  kulit iritasi sekitar cuping hidung dan bibirku membaik pake banget  enggak merah2 lagi  nggak ngelupas  nggak gatel dan panas  pengen salim sama yg buat produk ini     ,aster kosmetik,recommends this product,0
normal, medium light, neutral,25 - 29,more than 1 year,pake ini dah lama  bkin muka lembab pasca cuci muka  kalo lagi males pake skincare cukup pake ini aja udah bkin lembab loh  mungkin agak lengket dikit  krn dia texture nya agak kental  jadi pakenya jangan banyak2  cukup membantu untuk kulitku yang kering ini  oiya beli yg 100 ml duh ga abis2 hihi,shopee,recommends this product,0
oily, medium light, neutral,25 - 29,1 week - 1 month,aku beli yg oren ini sm yg ijo  dan lebih suka yg oren krn melembabkan muka  bikin muka jd halus jg  pdhl mukaku berminyak tp ga pernah sampe  keberatan  pake yg oren ini  dr harga termasuk murah juga  tp ya hanya sebatas melembabkan aja gunanya  pgn cari toner yg ada fungsi anti agingnya  ada saran ga ,brand website,recommends this product,0
combination, light, neutral,18 and under,6 months - 1 year,lagi nyari moisturizer buat mukaku yang lagi bruntusan  terus baca review pada saranin ini dan pas aku beli ternyata salah varian aku malah beli tonernya soalnya rada bingung juga awal awal kenal produk ini  lotion kok toner        tapi walaupun salah beli ini oke banget loh buat ngelembapin muka  walopun claimnya buat toner tapi dijadiin pelembab bagus bangett  ringan tapi melembabkan  hasilnya juga bener bener gentle nenangin kulit aku yang bruntusan      ,shopee,recommends this product,1
oily, light, cool,19 - 24,1 month - 3 months,melembabkan bgtt dan utk dikulitku yg sensitif pun pake ini ga ada rasa perih dan sebagainya   tipe kulitku itu lumayan berminyak  tp pake ini pun ga bikin kulit makin berminyak sama sekali  ringan bgtt dan cepat menyerap ke kulit   ga ada bau   yg aneh sama sekali  aku pake pas wajahku lg break out dan jerawatan pun mlh justru ini ngebantu utk ngeredamin muka ku yg lg bermasalah dan ga memperparah kondisi muka ku       bakal repurchase karena secintaaa itu huuu    ,shopee,recommends this product,0
oily, dark, warm,19 - 24,more than 1 year,sumpaaaaaah ini hydrating toner ter enak  bener bener bikin moist tapi ga bikin oily  secinta itu woi udah abis 5 botol dan terus akan repurchase  w biasanya pake pas jadwal eksfoliasi biar kulit tetep terhidrasi   must have product banget sih ini,shopee,recommends this product,0
dry, medium, warm,19 - 24,more than 1 year,udah repurchased berkali kali  entah sekarang udah botol ke berapa  tapi beneran cocok banget di aku  kulitku bener bener lembab setelah cuci muka  bahkan bisa ga aku lanjutin pake moisturizer lagi setelah ya          recommend banget buat yang kulitnya kering ,shopee,recommends this product,0
combination, medium, neutral,19 - 24,3 months - 6 months,udah cinta banget sama skincare satu ini hehee  kulitku termasuk kombinasi  acne prone  agak sensitif  sebelumnya pipi jidat bruntusan  tp setelah pake ini alhamdulillah bruntusan berkurang bangettt  malah yg di pipi dah hampir ilang semua hihii  pastinya juga menghidrasi kulit dengan baik  pokoknya suka banget   recommended       ,shopee,recommends this product,0
dry, medium light, neutral,25 - 29,1 month - 3 months,toner pagi siang soreku krn ringan banget  cepet nyerap dan ga lengket  cocok utk aku yg suka skincare serba ringkas dan cepat  kalo pagi  abis pake ini  aku pake serum vit c  moist dan ss  ini aku pake juga tiap abis wudhu dzuhur dan ashar  klo yg abis wudhu  setelah toner ini lgsg pake ss  lgsg seger wajahku     ,shopee,recommends this product,1
combination, medium, neutral,19 - 24,6 months - 1 year,ini salah satu moisturizer terbaik yang pernah kucoba  harganya murah tapi kualitas nya ga main main  tekstur nya ringan banget di kulit  ga mengeluarkan aroma apa pun  dan so pastii sangat melembabkan kulitku yang sangat kering inii wkwkwkk,ranch/farmer's market,recommends this product,0
dry, medium, neutral,19 - 24,3 months - 6 months,bagus banget gatau lagi     ini cocok banget untuk kulit super kering kaya akuuu  teksturnya sangat cair tapi pas diaplikasikan kaya ada oil2nya jadi bagus untuk melembabkan  kalau kulitku lagi mengelupas pakai ini pun ampuh   dia juga tidak ada baunya  kalau kalian kulitnya berminyak pakai yg strip hijau ya      ,shopee,recommends this product,1
normal, medium light, neutral,18 and under,1 month - 3 months,second time coba produk hada labo karena kulit aku agak kering jadi aku pilih varian gokujyun  awalnya aku cuma pake fw nya ajaa trus pas ngerasa cocok baru aku pake hydrating toner inii  so far so good sih semenjak aku pake ini ga ada tanda  ga cocok cuma awal pake sih agak breakout tapi nnti ilang sendiri  untuk tonernya sendiri sih aku lebih suka pake teknik 3layer karena bisa lebih melembabkan muka aku  rekomen sih buat yang mau coba pake hydrating toner tanpa fragrance   alkohol trus murah juga ,shopee,recommends this product,4
combination, medium, cool,19 - 24,more than 1 year,first toner hydrating sejak sma yang selalu aku repurchase packaging plastik 100ml fliptop dengan harga terjangkau   30 ribuan but bagi yang mau travel size dia juga ada 30ml tekstur kentel bening pakai 2 3 tetes udah lembapin ngefek diaku selama ini dia bantu menghempas beruntusan dan jerawat meradangku lumayan calming skin barrierku mayan plump minus diaku kadang bikin kusam kalau kebanyakan worth to try,shopee,recommends this product,0
normal, medium, neutral,18 and under,3 months - 6 months,awalnya beli ini karena hype banget dan banyak orang yang suka  jujurly aku lebih suka produk sebelah si w rdah yang hydrating toner yg seaweed  di aku hadalabo bikin bruntusan2 gitu  aku coba berhenti ilang dan pake lagi muncul lagi brati emang karena produk ini kan  coba yang w rdah samsekali ga nimbulin bruntusan  soo aku ga sejodoh sama produk ini soryy    ,shopee,doesnt recommend this product,0
combination, medium, warm,35 - 39,1 month - 3 months,awal nya beli karena penasaran dgn kandungan nya yg bagus nich  waktu itu beli travel size  tetapi ternyata setelah sebulan pake  baru ngeh    kalo dikulit tuh jadi lembab gitu  trua kalo jerawatan bekas nya cepet ngelotok karna kulit lembab gitu   retinol kalo malem   ,watson,recommends this product,0
normal, medium light, warm,19 - 24,1 week - 1 month,gw pake produk ini udah 2mingguan lebih karna sblm pake produk ini gw ngerasa kulit gw tuh kering bgt kalau abis cuci muka pake facial wash nah setelah pake toner ini muka gw rasanya tuh lembab bgt dan kulit gw jdi kerasa kenyal selain itu gw juga suka bgt sama tekstur dari produk ini jdi teksturnya itu cair tpi agak thick gtu dan pas di apply rasanya wajah kyk bnr2 lembab ga meninggalkan kesan lengket atau apapun itu dan cepet jga meresapnya utk packagingnya berbentu botol plastik gtu desain packagingnya jga simple trs produk knowledge tertulis sanget jelas disitu trs ingredients nya juga aman bgt ga mengandung fragrance alcohol jdi gw rasa toner ini bakalan cocok utk semua jenis kulit menurut gw dengan harga 30rb produk ini bener2 recommended ,aeon,recommends this product,1
oily, medium light, neutral,19 - 24,3 months - 6 months,dia punya packaging yang terbuat dari plastik biasa yang menurutku ini menjadi penyebab harga dia bisa semurah itu  tutupnya fliptop jadi ga usa khawatir kalau aja tutupnya ilang  untuk produknya sendiri dia lumayan kental tapi ga sekental toner hydra yang beberapa uda aku coba sebelumnya  efek melembabkannya kerasa banget dan alhamdulillah kulitku ga ada reaksi buruk waktu pakai dia  menginggat aku sangat picky buat ganti toner  hada labo ini ga ada bau  dan ingredientsnya minimal banget jadi gaperlu khawatir bikin kulit kenapa napa  3 bulan masih ada sisa sedikit padahal dipakai 2x sehari  repurchase  deffinetly yashh    ,shopee,recommends this product,8
normal, medium, cool,19 - 24,more than 1 year,packaging dari plastik kayak gambar tutup flip tekstur kentel tetesin dikit udh bisa ngeratain satu wajah enggak ada bau apapun dia diaku hemat banget bisa 6bulanan lebih bener2 suka saat diapply bikin lembab udah nyoba toner lain ujung2nya balik ke dia karena selain murah awet tentunya worth it bantu ngatasin beruntusan diaku karena efek hidrasinya mantep banget tekstur wajahku enggak gradakan lagi karena dia secinta itu must try    ,shopee,recommends this product,0
combination, medium, warm,19 - 24,3 months - 6 months,toner terbaik untuk kaliat yg butuh kelembababn extra buat kulit  tekstur nya cair agak sedikit kental  tidak perlu kapas untuk pengaplikasian nya  sungguh sangat nyaman di wajah  kadang kalo lg di rumah aja habis cuci muka langsung pake toner ini tanpa pelembab pun sudah cukup membua kulit lembab  1 botol isinya ga habis habis  karna sekali pakai butuh cuma 5 tetes aja udah melembabkan bgttt  sangat rekomen buat kalian yg kulitnya kering  ini sangat membantu  harganya terjangkau dan isinya banyak  ,watson,recommends this product,0
combination, medium, neutral,19 - 24,more than 1 year,teksturnya kaya air tapi sedikit lebih thick  haha paham ngga guys  d kalo diolesin di kulit berasa licin tapi cepet meresap  setelah pakai selama setahun lebih  fix aku gabakal ga restock sih  ngga ada efek negatif sama sekali di aku  abis pake ini kulit berasa supple dan ofc lembab  karna ini toner  aku tetep pakai moiturizer   sunscreen kalo mau beraktivitas di luar rumah  ngga kerasa tebel ngga nyaman walopun dobel2 moist  d   tapii kalo cuma di rumah doang aku sering banget abis cuci muka langsung dan cuma pakai moisturizing lotion ini  menurut aku uda cukuppp banget buat ngelembabin kulit muka aku  kecuali cuaca atau kulit aku lagi dry banget  banyak faktor  masi butuh moisturizer  tp kalo kulit lagi normal ini sih aja sih cukup  aga heran sebenernya  dipake sendiri udah enak  ditambah moisturizer juga mantep  awalnya aku kira bakal over moist gitu tapi sejauh ini fine2 aja  daann ini produk awett banget karna cuma butuh 5 7 tetes aja  d repurchase  ya  cuma ini yang aku pake kalo lagi magerrr bgt skincarean wkwk  tapi mungkin mau coba dari series lain juga  yang botol biru sama merah ,watson,recommends this product,0
dry, medium dark, cool,19 - 24,3 months - 6 months,suka dgn lotion yg ini dibanding yg hijau  nge lembabin nya tahan lama  biasanya sebelum pake ini  aku semprot dlu wajah dgn water spray biar bsa ada efek occlusive nya gitu  semua produk dari toner sampe moist pasti aku semprot wajah dlu  agar efek lembabnya tahan lama  ,hypermart,recommends this product,0
dry, medium dark, neutral,19 - 24,less than 1 week,mau salim soalnya udah nyelametin kulit aku yang kering kerontang ini     cukup melembabkan dan teksturnya suka banget  jadi inget benton yang snail soalnya teksturnya mirip  dulu pernah nyoba yang hadalabo gokujyun premium karena itu yg diperuntukan buat st super kering  tapi dulu kesan pertamanya kurang bagus karena habis pake lgsg gatel bentol bentol  kalo ini udah abis mungkin aku bakal coba ke gokujyun premium lagi ,shopee,recommends this product,1
normal, medium dark, neutral,18 and under,1 week - 1 month,duhhh  lumayan kesel sama ni produk      lebih kesel lagi sama kulitku sii  first impression  aku aga kaget sama baunya  kaya kimia gtu  tapi wajar sii karna gaada fragrance nya  sebenarnya awal awal pake dia enak nyaman gtu  tapi lama kelamaan muncul bintik bintik bruntusan hshshs  mau pothink dlu klo itu purging    eh diterusin malah jdi jerawat      terus aku coba jeda semingguan dan pake lagi buat liat dia cocok apa ga  eh sekali make langsung jerawatan      akhirnya berhenti pakee  nyesel bgtt huhuu  mana beli yang gede lagi     ,shopee,doesnt recommend this product,0
dry, medium light, neutral,19 - 24,3 months - 6 months,iseng nyoba katanya melembabkan  dan emg bener bener melembabkan  cepet meresap ga lengket  melembabkan   menyegarkan  cocok bgt buat kulit kering  tekstur nya cair tapi agak kental harganya murah tapi isinya banyak jadi hemat  cocok buat budget pas2an kaya aku  ,shopee,recommends this product,0
combination, medium, neutral,19 - 24,3 months - 6 months,gilaaaa ini bagus banget  waktu itu kondisi kulitku lagi kering parah sampe ngelupas2 dan perih  terus akhirnya nyoba pake produk ini dannnn bener2 baru beberapa kali pake lgsg lembap banget dan kulitku ga kering lagiii  cinta banget sama produk ini kalo kulitku lg kering dan ngelupas ,dan+dan,recommends this product,0
combination, medium, neutral,25 - 29,1 month - 3 months,teksture nya cair tapi gak cair banget  warna nya bening dan gak ada wangi nya  cepeeet banget ngeresap di kulit tuh  dan lumayan bikin lembab  baru pakai seminggu an lebih jd hasil belum terlalu keliatan  tapi adik gw pakai ini  muka nya gatau knp jd keliatan lebih sehat bgt ,shopee,recommends this product,0
dry, medium, warm,19 - 24,6 months - 1 year,teksturnya cair dan tidak ada wanginya samsek  nyerapnya agak lama walaupun dia cair dan aku biasanya pake 2 layer biar kerasa lebih lembap aja gitu  enak banget kalo dipake abis cuci muka terus pake ini  cuman karena terlalu cair itu jadinya kaya gaada rasa terlapisinya gitu  afterall suka sekali tetap ,shopee,recommends this product,0
normal, medium light, neutral,19 - 24,1 week - 1 month,toner yang hidratingnya bagus bangettt luvv   dia toner yang watery banget tapi pas di aplikasiin di wajah terasa banget lembabnyaa  ini toner yang bisa kalian coba sih buat selingin toner kalian yang lain soalnya ini bagus dan harganya juga cheap ,shopee,recommends this product,0
combination, medium light, warm,19 - 24,1 month - 3 months,udah bbrpa bulan make moisturizer ini  and im in love  suka banget dr segi tekstur dan warna  dia ciar jadi cepet bgt menyerap  lgsg ngehydrate muka dan bikin glowing  worth it banget dengan harga segitu karena awet nget banget ini bisa buat 2 bulan lbh di aku  pakenya cmn malem aja si ehhe  overall bgs bgttt ,guardian,recommends this product,0
combination, medium, warm,30 - 34,6 months - 1 year,ini andalan waktu kuliah dulu  kulit jadi lembap dan gak bikin jerawatan  coba beli lagi setelah punya anak  eh ternyata sekarang gak ngefek sama sekali  kulitku sekarang kombinasi cenderung kering  gak ada lembap lembapnya sama sekali  kayak langsung ilang gitu habis di apply ,shopee,recommends this product,0
combination, medium, neutral,25 - 29,1 week - 1 month,teksturnya kayak essence sih ini  kalau kalian lagi cari toner buat hydrating kalian bisa pakai ini  jenis kulitku dry to sensitif langsung jadi lembab sehat apalagi kalau kalian lagi eksfo mending pake ini deh biar bisa menyeimbangkan ph kulit kalian,official brand store,recommends this product,9
combination, medium light, neutral,25 - 29,more than 1 year,suka banget sama toner iniiiii  cukup banget buat ngehydrasi kulit aku yang kering  harga nya juga affordable  dan aku udah beberapa kali repurchase si toner hadalabo iniii  pokok nya recommended banget buat kalian yang punya masalah sama kulit wajah yang kering  love it ,princess cosmetic,recommends this product,0
normal, medium, neutral,18 and under,3 months - 6 months,gatau kenapa di gw ngga cocok  padahal liat reviewnya bagus bagus  dan dulu juga sempet viral banget ni toner  tapi di aku bikin jerawat  awalnya coba pakai sekali trs ada jerawat  trs gw tinggal seminggu baru pakai lagi eeeeeh tetep bikin jerawat  ingredientsnya g aneh aneh siii ga ada bau juga,shopee,doesnt recommend this product,1
dry, medium light, neutral,18 and under,less than 1 week,toner yg bikin lembab banget ini juara nya sih karena tekstur nya yg sedikit kental dan hasil akhir yg sedikit lengket jadi suka banget sih apalagi buat kulit dry kaya aku luvv banget dan ini juga cocok dipakai sebelum makeup,shopee,recommends this product,0
combination, medium, warm,19 - 24,more than 1 year,salah satu hydrating toner favoritttttt  walaupun harganya murah tapi sebagus ituuuu  ngelembabin banget disaat kulit lagi kering kerontang  alhamdulillah nya gaada bad reaction di kulit aku  absolutely will repurchase this item yeayy,shopee,recommends this product,0
combination, medium light, cool,19 - 24,1 week - 1 month,sukaa bangettt iseng cobain ternyataa enakk jugaa bikin kulit lembab  kandungannya juga bagus bagus udah gituu tanpa pewangi dan alkohol jadi cocok buat kulit sensitif  teksturnya lebih mirip ke ampoule essense si engga yang cair kaya toner,guardian,recommends this product,0
dry, medium light, neutral,19 - 24,1 month - 3 months,affordable dengan harga segitu untuk 100ml produk  tutupnya flip top botol plastik putih yg tulisannya bakal hilang seiring waktu  teksturnya cair tapi masih ada  isi  nya walau ga kayak essence  wanginya cukup noticable tapi ga ganggu  dia cukup melembabkan tapi ntah kenapa aku ga suka karna dia bikin greasy telapak tangan aku soalnya aku sukanya di raup raup pake tangan  kadang muka aku masih panas pake ini padahal udah di klaim no alcohol hiks,shopee,recommends this product,1
dry, medium light, neutral,19 - 24,3 months - 6 months,to be honest  it didn t do much for dry skin  but it adds extra hydration when you use moisturizing cream afterward  the texture is light   easily absorbed  price pretty cheap if you re going into the local cosmetic store nearby  ,traditional market,recommends this product,0
combination, medium light, cool,19 - 24,1 month - 3 months,aku gatau sih ya ini tuh ngaruh atau ngga dimuka aku  karena walau udh ditambah toner ini kadang di area hidung masih suka kering  untuk reaksi setelah pakai ini sih kynya gaada reaksi apa2  teksturnya cair licin gitu  tapi enak gampang nyerap   affordable bgt  aku pake yg 30 ml abisnya hampir 2 bulan  awet ,shopee,recommends this product,0
combination, light, neutral,25 - 29,more than 1 year,ga bisa deh ganti ke lain hati  udah pake hada labo ini selalu cocok untuk kulit aku yang kering kerontang  dipakai pagi dan malam  my holy grail  dengan harga yang murah jadi ga beban belinya  pernah coba product lain tapi tetep ini yg bikin kulitku lembab dan bisa di layer dengan exfoliating toner  serum dan pelembab lainnya  you should try guys,transmart,recommends this product,0
combination, medium, neutral,19 - 24,more than 1 year,dah saking bosen nya pakeini 3 kali repurchase karna enak banget kesan melembabkan yang lumayan  ku pake tiap hari plus abis exfo pasti pake ini  pengen pindah ke yg seliteran itu tapi ada yg bilang enakan ini  yaudah tetap lanjut pake iniiii,lazada,recommends this product,0
dry, medium, warm,19 - 24,1 week - 1 month,siapapun yg punya kulit kering nyari hydrating toner yg murah kalian harus beli ini   waktu itu beli di shopee dan ngubek2 akhirnya nemu harga termurah karna kalo beli di supermarket mayan juga harganya hehe   waktu itu ga expect banyak2 karna emg niat murninya mau nyari toner yg bisa ngehydrate untuk aku pake setelah pake exfoliating toner dan setelah pake ini alhamdulillah kulitnya ga cranky ga ngelupas karna waktu itu mikirnya takut aja jadi ngelupas eh ternyata pake toner ini muka ku jadi lembab terus juga pas make ga ngerasa panasss karna non alcohol hihiiiii pokoknya suka karna murahhhhhhhhhhh bgt ,shopee,recommends this product,1
oily, light, neutral,18 and under,6 months - 1 year,hydrating toner yg ingredients nya g macem     efek hydratingny dapet bgtt  ini mnurut aku dupe nya pyunkang yul sii  bener    se mirip itu sampe se tekstur    nya jg mirip bgtt      hadalabo ini gaada fragrance alkohol jd oke bgt buat kulit sensi  hadalabo itu ibarat versi tanggal tua nya pyunkang sii hahahah,shopee,recommends this product,0
combination, medium, neutral,19 - 24,1 month - 3 months,setelah sekian lama mengenal hadalabo  baru nyobain ini itupun karena salah ngambil  harusnya toner       ternyata ini adalah moisturizer yang ku cari selama ini   teksturnya light  no fragrance  dan hasilnya ga greasy juga  ini ku mix dengan bakuchiol  jadinya kulit makin lembab   glowing    ,shopee,recommends this product,0
